date,C1_School closing,C2_Workplace closing,C6_Stay at home requirements
2021-01-20,3.0,3.0,3.0
2021-01-21,3.0,3.0,3.0
2021-01-22,3.0,3.0,3.0
2021-01-23,3.0,3.0,3.0
2021-01-24,3.0,3.0,3.0
2021-01-25,3.0,3.0,3.0
2021-01-26,3.0,3.0,3.0
2021-01-27,3.0,3.0,3.0
2021-01-28,3.0,3.0,3.0
2021-01-29,3.0,3.0,3.0
2021-01-30,3.0,3.0,3.0
2021-01-31,3.0,3.0,3.0
2021-02-01,3.0,3.0,3.0
2021-02-02,3.0,3.0,3.0
2021-02-03,3.0,3.0,3.0
2021-02-04,3.0,3.0,3.0
2021-02-05,3.0,3.0,3.0
2021-02-06,3.0,3.0,3.0
2021-02-07,3.0,3.0,3.0
2021-02-08,3.0,3.0,3.0
2021-02-09,3.0,3.0,3.0
2021-02-10,3.0,3.0,3.0
2021-02-11,3.0,3.0,3.0
2021-02-12,3.0,3.0,3.0
2021-02-13,3.0,3.0,3.0
2021-02-14,3.0,3.0,3.0
2021-02-15,3.0,3.0,3.0
2021-02-16,3.0,3.0,3.0
2021-02-17,3.0,3.0,3.0
2021-02-18,3.0,3.0,3.0
2021-02-19,3.0,3.0,3.0
2021-02-20,3.0,3.0,3.0
2021-02-21,3.0,3.0,3.0
2021-02-22,3.0,3.0,3.0
2021-02-23,3.0,3.0,3.0
2021-02-24,3.0,3.0,3.0
2021-02-25,3.0,3.0,3.0
2021-02-26,3.0,3.0,3.0
2021-02-27,3.0,3.0,3.0
2021-02-28,3.0,3.0,3.0
2021-03-01,3.0,3.0,3.0
2021-03-02,3.0,3.0,3.0
2021-03-03,3.0,3.0,3.0
2021-03-04,3.0,3.0,3.0
2021-03-05,3.0,3.0,3.0
2021-03-06,3.0,3.0,3.0
2021-03-07,3.0,3.0,3.0
2021-03-08,3.0,3.0,3.0
2021-03-09,3.0,3.0,3.0
2021-03-10,3.0,3.0,3.0
